,기간,손석구
566,2020-12-30,0.08681
567,2020-12-31,0.05552
568,2021-01-01,0.06479
569,2021-01-02,0.09342
570,2021-01-03,0.15757
571,2021-01-04,0.34952
572,2021-01-05,0.11262
573,2021-01-06,0.08008
574,2021-01-07,0.07596
575,2021-01-08,0.0758
576,2021-01-09,0.08545
577,2021-01-10,0.08458
578,2021-01-11,0.07466
579,2021-01-12,0.55313
580,2021-01-13,0.14786
581,2021-01-14,0.10367
582,2021-01-15,0.09396
583,2021-01-16,0.16142
584,2021-01-17,0.08719
585,2021-01-18,0.0719
586,2021-01-19,0.07688
587,2021-01-20,0.06598
588,2021-01-21,0.06951
589,2021-01-22,0.07011
590,2021-01-23,0.07466
591,2021-01-24,0.07184
592,2021-01-25,0.06403
593,2021-01-26,0.07141
594,2021-01-27,0.07298
595,2021-01-28,0.09174
596,2021-01-29,0.12563
597,2021-01-30,0.08588
598,2021-01-31,0.09456
599,2021-02-01,0.081
600,2021-02-02,0.15014
601,2021-02-03,0.26282
602,2021-02-04,0.07482
603,2021-02-05,0.17487
604,2021-02-06,0.09722
605,2021-02-07,0.08675
606,2021-02-08,0.06805
607,2021-02-09,0.06767
608,2021-02-10,0.0662
609,2021-02-11,0.11121
610,2021-02-12,0.13658
611,2021-02-13,0.08887
612,2021-02-14,0.11598
613,2021-02-15,0.16614
614,2021-02-16,0.0726
615,2021-02-17,0.06745
616,2021-02-18,0.06561
617,2021-02-19,0.0687
618,2021-02-20,0.07363
619,2021-02-21,0.09906
620,2021-02-22,0.07623
621,2021-02-23,0.05959
622,2021-02-24,0.08117
623,2021-02-25,0.09548
624,2021-02-26,0.0784
625,2021-02-27,0.08925
626,2021-02-28,0.11245
627,2021-03-01,0.09434
628,2021-03-02,0.06821
629,2021-03-03,0.05633
630,2021-03-04,0.05454
631,2021-03-05,0.05319
632,2021-03-06,0.07287
633,2021-03-07,0.07444
634,2021-03-08,0.06279
635,2021-03-09,0.07043
636,2021-03-10,0.06165
637,2021-03-11,0.05937
638,2021-03-12,0.06712
639,2021-03-13,0.06837
640,2021-03-14,0.07108
641,2021-03-15,0.06213
642,2021-03-16,0.06371
643,2021-03-17,0.06376
644,2021-03-18,0.06154
645,2021-03-19,0.05585
646,2021-03-20,0.06067
647,2021-03-21,0.07
648,2021-03-22,0.05677
649,2021-03-23,0.05368
650,2021-03-24,0.05411
651,2021-03-25,0.0463
652,2021-03-26,0.0501
653,2021-03-27,0.0649
654,2021-03-28,0.06978
655,2021-03-29,0.06013
656,2021-03-30,0.04755
657,2021-03-31,0.06219
658,2021-04-01,0.05693
659,2021-04-02,0.054
660,2021-04-03,0.05894
661,2021-04-04,0.06235
662,2021-04-05,0.05796
663,2021-04-06,0.04522
664,2021-04-07,0.04787
665,2021-04-08,0.04679
666,2021-04-09,0.05237
667,2021-04-10,0.06989
668,2021-04-11,0.07715
669,2021-04-12,0.06392
670,2021-04-13,0.06691
671,2021-04-14,0.06702
672,2021-04-15,0.06626
673,2021-04-16,0.06718
674,2021-04-17,0.07358
675,2021-04-18,0.07612
676,2021-04-19,0.08702
677,2021-04-20,0.09494
678,2021-04-21,0.08843
679,2021-04-22,0.07813
680,2021-04-23,0.09505
681,2021-04-24,0.11723
682,2021-04-25,0.13029
683,2021-04-26,0.09494
684,2021-04-27,0.08106
685,2021-04-28,0.07434
686,2021-04-29,0.06425
687,2021-04-30,0.08068
688,2021-05-01,0.07325
689,2021-05-02,0.07672
690,2021-05-03,0.06138
691,2021-05-04,0.0861
692,2021-05-05,0.07227
693,2021-05-06,0.07027
694,2021-05-07,0.07206
695,2021-05-08,0.0765
696,2021-05-09,0.08805
697,2021-05-10,0.08626
698,2021-05-11,0.06642
699,2021-05-12,0.06062
700,2021-05-13,0.0553
701,2021-05-14,0.05812
702,2021-05-15,0.06181
703,2021-05-16,0.07043
704,2021-05-17,0.05552
705,2021-05-18,0.05107
706,2021-05-19,0.05731
707,2021-05-20,0.06311
708,2021-05-21,0.06317
709,2021-05-22,0.07206
710,2021-05-23,0.06718
711,2021-05-24,0.05639
712,2021-05-25,0.05785
713,2021-05-26,0.04988
714,2021-05-27,0.04966
715,2021-05-28,0.05118
716,2021-05-29,0.05221
717,2021-05-30,0.05574
718,2021-05-31,0.04712
719,2021-06-01,0.0412
720,2021-06-02,0.04533
721,2021-06-03,0.05194
722,2021-06-04,0.04646
723,2021-06-05,0.05151
724,2021-06-06,0.05612
725,2021-06-07,0.04478
726,2021-06-08,0.04327
727,2021-06-09,0.06045
728,2021-06-10,0.05064
729,2021-06-11,0.04093
730,2021-06-12,0.04565
731,2021-06-13,0.05829
732,2021-06-14,0.04956
733,2021-06-15,0.05579
734,2021-06-16,0.06365
735,2021-06-17,0.60225
736,2021-06-18,0.409
737,2021-06-19,0.13485
738,2021-06-20,0.1406
739,2021-06-21,0.29459
740,2021-06-22,0.14374
741,2021-06-23,0.07336
742,2021-06-24,0.05823
743,2021-06-25,0.06973
744,2021-06-26,0.05937
745,2021-06-27,0.05834
746,2021-06-28,0.05758
747,2021-06-29,0.04457
748,2021-06-30,0.04977
749,2021-07-01,0.04468
750,2021-07-02,0.0418
751,2021-07-03,0.05883
752,2021-07-04,0.06506
753,2021-07-05,0.05194
754,2021-07-06,0.05655
755,2021-07-07,0.05129
756,2021-07-08,0.05151
757,2021-07-09,0.06946
758,2021-07-10,0.05758
759,2021-07-11,0.06035
760,2021-07-12,0.0495
761,2021-07-13,0.052
762,2021-07-14,0.0482
763,2021-07-15,0.04966
764,2021-07-16,0.05514
765,2021-07-17,0.06794
766,2021-07-18,0.07488
767,2021-07-19,0.08041
768,2021-07-20,0.06783
769,2021-07-21,0.07916
770,2021-07-22,0.07672
771,2021-07-23,0.06349
772,2021-07-24,0.06447
773,2021-07-25,0.06387
774,2021-07-26,0.06647
775,2021-07-27,0.05568
776,2021-07-28,0.05937
777,2021-07-29,0.05899
778,2021-07-30,0.15914
779,2021-07-31,0.08713
780,2021-08-01,0.08382
781,2021-08-02,0.06555
782,2021-08-03,0.0617
783,2021-08-04,0.05639
784,2021-08-05,0.08599
785,2021-08-06,0.07862
786,2021-08-07,0.07607
787,2021-08-08,0.11479
788,2021-08-09,0.05622
789,2021-08-10,0.06924
790,2021-08-11,0.07629
791,2021-08-12,0.06989
792,2021-08-13,0.08757
793,2021-08-14,0.07916
794,2021-08-15,0.09949
795,2021-08-16,0.0771
796,2021-08-17,0.06767
797,2021-08-18,0.12173
798,2021-08-19,0.12205
799,2021-08-20,0.14076
800,2021-08-21,0.09516
801,2021-08-22,0.08534
802,2021-08-23,0.07678
803,2021-08-24,0.07721
804,2021-08-25,0.09662
805,2021-08-26,0.08518
806,2021-08-27,0.47835
807,2021-08-28,1.94363
808,2021-08-29,2.66551
809,2021-08-30,2.38881
810,2021-08-31,2.7688
811,2021-09-01,3.97999
812,2021-09-02,3.43044
813,2021-09-03,2.28345
814,2021-09-04,2.55945
815,2021-09-05,2.57067
816,2021-09-06,1.96532
817,2021-09-07,1.59216
818,2021-09-08,1.20977
819,2021-09-09,2.04861
820,2021-09-10,2.79445
821,2021-09-11,1.27967
822,2021-09-12,1.10181
823,2021-09-13,0.73922
824,2021-09-14,0.5618
825,2021-09-15,0.38926
826,2021-09-16,0.34204
827,2021-09-17,0.43064
828,2021-09-18,0.49565
829,2021-09-19,0.49511
830,2021-09-20,0.49592
831,2021-09-21,0.51626
832,2021-09-22,0.55806
833,2021-09-23,0.38937
834,2021-09-24,0.38785
835,2021-09-25,0.38948
836,2021-09-26,0.37837
837,2021-09-27,0.28413
838,2021-09-28,0.2459
839,2021-09-29,0.24655
840,2021-09-30,0.25056
841,2021-10-01,0.26254
842,2021-10-02,0.26395
843,2021-10-03,0.26667
844,2021-10-04,0.25577
845,2021-10-05,0.20138
846,2021-10-06,0.17806
847,2021-10-07,0.16782
848,2021-10-08,0.2222
849,2021-10-09,0.20669
850,2021-10-10,0.21298
851,2021-10-11,0.20507
852,2021-10-12,0.14
853,2021-10-13,0.12959
854,2021-10-14,0.12037
855,2021-10-15,0.12254
856,2021-10-16,0.12937
857,2021-10-17,0.12623
858,2021-10-18,0.11451
859,2021-10-19,0.10568
860,2021-10-20,0.14895
861,2021-10-21,0.16733
862,2021-10-22,0.18989
863,2021-10-23,0.19574
864,2021-10-24,0.183
865,2021-10-25,0.15307
866,2021-10-26,0.14342
867,2021-10-27,0.22996
868,2021-10-28,0.1631
869,2021-10-29,0.19862
870,2021-10-30,0.25316
871,2021-10-31,0.24367
872,2021-11-01,0.22296
873,2021-11-02,0.24736
874,2021-11-03,0.33238
875,2021-11-04,0.42462
876,2021-11-05,0.65604
877,2021-11-06,0.38677
878,2021-11-07,2.01087
879,2021-11-08,1.3148
880,2021-11-09,0.75798
881,2021-11-10,0.57379
882,2021-11-11,0.51045
883,2021-11-12,0.45422
884,2021-11-13,0.64298
885,2021-11-14,0.68793
886,2021-11-15,0.48822
887,2021-11-16,0.42267
888,2021-11-17,0.58138
889,2021-11-18,0.65095
890,2021-11-19,0.76232
891,2021-11-20,0.67188
892,2021-11-21,6.16048
893,2021-11-22,3.07961
894,2021-11-23,1.96809
895,2021-11-24,1.44066
896,2021-11-25,1.535
897,2021-11-26,1.19367
898,2021-11-27,1.56678
899,2021-11-28,1.47666
900,2021-11-29,1.01148
901,2021-11-30,0.7697
902,2021-12-01,0.59851
903,2021-12-02,0.57357
904,2021-12-03,0.92618
