,기간,우크라이나
701,2021-05-14,0.08418
702,2021-05-15,0.07014
703,2021-05-16,0.0731
704,2021-05-17,0.08016
705,2021-05-18,0.06869
706,2021-05-19,0.0708
707,2021-05-20,0.09374
708,2021-05-21,0.08728
709,2021-05-22,0.09426
710,2021-05-23,0.0944
711,2021-05-24,0.11523
712,2021-05-25,0.09901
713,2021-05-26,0.08747
714,2021-05-27,0.09413
715,2021-05-28,0.08345
716,2021-05-29,0.07983
717,2021-05-30,0.09664
718,2021-05-31,0.09143
719,2021-06-01,0.06994
720,2021-06-02,0.07218
721,2021-06-03,0.07462
722,2021-06-04,0.06776
723,2021-06-05,0.07587
724,2021-06-06,0.06803
725,2021-06-07,0.09815
726,2021-06-08,0.106
727,2021-06-09,0.08662
728,2021-06-10,0.07515
729,2021-06-11,0.08484
730,2021-06-12,0.07976
731,2021-06-13,0.09183
732,2021-06-14,0.16249
733,2021-06-15,0.09835
734,2021-06-16,0.08701
735,2021-06-17,0.23686
736,2021-06-18,0.153
737,2021-06-19,0.08807
738,2021-06-20,0.09051
739,2021-06-21,0.17713
740,2021-06-22,0.16981
741,2021-06-23,0.09934
742,2021-06-24,0.12611
743,2021-06-25,0.08563
744,2021-06-26,0.0795
745,2021-06-27,0.07976
746,2021-06-28,0.09321
747,2021-06-29,0.15603
748,2021-06-30,0.54504
749,2021-07-01,0.14773
750,2021-07-02,0.11358
751,2021-07-03,0.21115
752,2021-07-04,0.42322
753,2021-07-05,0.14667
754,2021-07-06,0.09947
755,2021-07-07,0.10283
756,2021-07-08,0.088
757,2021-07-09,0.07844
758,2021-07-10,0.09117
759,2021-07-11,0.0824
760,2021-07-12,0.09829
761,2021-07-13,0.07943
762,2021-07-14,0.076
763,2021-07-15,0.07923
764,2021-07-16,0.06882
765,2021-07-17,0.07238
766,2021-07-18,0.07877
767,2021-07-19,0.07244
768,2021-07-20,0.07897
769,2021-07-21,0.06915
770,2021-07-22,0.07989
771,2021-07-23,0.50384
772,2021-07-24,0.69673
773,2021-07-25,0.44319
774,2021-07-26,0.34932
775,2021-07-27,0.23508
776,2021-07-28,0.21965
777,2021-07-29,0.14971
778,2021-07-30,0.17251
779,2021-07-31,0.15089
780,2021-08-01,0.1532
781,2021-08-02,0.14588
782,2021-08-03,0.15274
783,2021-08-04,0.17871
784,2021-08-05,0.12604
785,2021-08-06,0.13052
786,2021-08-07,0.22525
787,2021-08-08,0.18392
788,2021-08-09,0.12123
789,2021-08-10,0.10778
790,2021-08-11,0.10791
791,2021-08-12,0.09387
792,2021-08-13,0.11602
793,2021-08-14,0.10811
794,2021-08-15,0.1116
795,2021-08-16,0.10969
796,2021-08-17,0.14496
797,2021-08-18,0.12709
798,2021-08-19,0.12709
799,2021-08-20,0.10363
800,2021-08-21,0.10369
801,2021-08-22,0.11114
802,2021-08-23,0.12215
803,2021-08-24,0.16797
804,2021-08-25,0.13883
805,2021-08-26,0.11951
806,2021-08-27,0.11786
807,2021-08-28,0.08035
808,2021-08-29,0.09143
809,2021-08-30,0.09248
810,2021-08-31,0.09717
811,2021-09-01,0.112
812,2021-09-02,0.11523
813,2021-09-03,0.09393
814,2021-09-04,0.1209
815,2021-09-05,0.11892
816,2021-09-06,0.08991
817,2021-09-07,0.08299
818,2021-09-08,0.0907
