,기간,범죄도시2
588,2021-01-21,0.2616
589,2021-01-22,0.27869
590,2021-01-23,0.36807
591,2021-01-24,0.3276
592,2021-01-25,0.27555
593,2021-01-26,0.25149
594,2021-01-27,0.32636
595,2021-01-28,0.40854
596,2021-01-29,0.30399
597,2021-01-30,0.55526
598,2021-01-31,0.48994
599,2021-02-01,0.28038
600,2021-02-02,1.65746
601,2021-02-03,4.9183
602,2021-02-04,0.37684
603,2021-02-05,0.35211
604,2021-02-06,0.4226
605,2021-02-07,0.40191
606,2021-02-08,0.3104
607,2021-02-09,0.33592
608,2021-02-10,0.34885
609,2021-02-11,0.63991
610,2021-02-12,0.66015
611,2021-02-13,0.39494
612,2021-02-14,0.79314
613,2021-02-15,2.20114
614,2021-02-16,0.30433
615,2021-02-17,0.25059
616,2021-02-18,0.29679
617,2021-02-19,0.24553
618,2021-02-20,0.25688
619,2021-02-21,0.28162
620,2021-02-22,0.38819
621,2021-02-23,0.24452
622,2021-02-24,0.63328
623,2021-02-25,0.51872
624,2021-02-26,0.25969
625,2021-02-27,0.30905
626,2021-02-28,0.31411
627,2021-03-01,0.41439
628,2021-03-02,0.28409
629,2021-03-03,0.22664
630,2021-03-04,0.21641
631,2021-03-05,0.19696
632,2021-03-06,0.24047
633,2021-03-07,0.25576
634,2021-03-08,0.16942
635,2021-03-09,0.153
636,2021-03-10,0.16211
637,2021-03-11,0.17807
638,2021-03-12,0.16975
639,2021-03-13,0.21259
640,2021-03-14,0.20888
641,2021-03-15,0.19561
642,2021-03-16,0.17987
643,2021-03-17,0.32265
644,2021-03-18,0.30309
645,2021-03-19,0.19887
646,2021-03-20,0.21697
647,2021-03-21,0.22023
648,2021-03-22,0.13614
649,2021-03-23,0.14052
650,2021-03-24,0.15109
651,2021-03-25,0.16042
652,2021-03-26,0.13985
653,2021-03-27,0.20371
654,2021-03-28,0.20438
655,2021-03-29,0.16278
656,2021-03-30,0.13378
657,2021-03-31,0.15132
658,2021-04-01,0.14581
659,2021-04-02,0.14615
660,2021-04-03,0.20337
661,2021-04-04,0.23732
662,2021-04-05,0.22923
663,2021-04-06,0.12512
664,2021-04-07,0.11781
665,2021-04-08,0.1267
666,2021-04-09,0.14547
667,2021-04-10,0.17729
668,2021-04-11,0.19325
669,2021-04-12,0.15862
670,2021-04-13,0.14581
671,2021-04-14,0.15368
672,2021-04-15,0.1729
673,2021-04-16,0.18662
674,2021-04-17,0.17335
675,2021-04-18,0.19348
676,2021-04-19,0.17167
677,2021-04-20,0.16537
678,2021-04-21,0.16739
679,2021-04-22,0.17594
680,2021-04-23,0.1747
681,2021-04-24,0.18437
682,2021-04-25,0.21439
683,2021-04-26,0.2887
684,2021-04-27,0.16211
685,2021-04-28,0.18336
686,2021-04-29,0.16458
687,2021-04-30,0.17178
688,2021-05-01,0.22259
689,2021-05-02,0.25801
690,2021-05-03,0.20955
691,2021-05-04,0.27465
692,2021-05-05,0.27127
693,2021-05-06,0.22158
694,2021-05-07,0.20922
695,2021-05-08,0.22619
696,2021-05-09,0.23766
697,2021-05-10,0.20393
698,2021-05-11,0.18718
699,2021-05-12,0.14986
700,2021-05-13,0.14682
701,2021-05-14,0.16256
702,2021-05-15,0.18875
703,2021-05-16,0.22687
704,2021-05-17,0.16335
705,2021-05-18,0.15728
706,2021-05-19,0.20775
707,2021-05-20,0.37695
708,2021-05-21,0.27386
709,2021-05-22,0.30365
710,2021-05-23,0.60944
711,2021-05-24,0.27779
712,2021-05-25,0.34806
713,2021-05-26,0.28398
714,2021-05-27,0.2471
715,2021-05-28,0.1964
716,2021-05-29,0.23339
717,2021-05-30,0.23991
718,2021-05-31,0.19831
719,2021-06-01,0.17346
720,2021-06-02,0.18055
721,2021-06-03,0.19438
722,2021-06-04,0.18133
723,2021-06-05,0.1973
724,2021-06-06,0.21933
725,2021-06-07,0.18201
726,2021-06-08,0.15222
727,2021-06-09,0.31073
728,2021-06-10,0.26925
729,2021-06-11,0.16357
730,2021-06-12,0.18684
731,2021-06-13,0.20708
732,2021-06-14,0.16908
733,2021-06-15,0.18729
734,2021-06-16,0.19685
735,2021-06-17,1.35751
736,2021-06-18,1.04182
737,2021-06-19,0.49983
738,2021-06-20,0.52569
739,2021-06-21,0.72681
740,2021-06-22,0.39359
741,2021-06-23,0.27847
742,2021-06-24,0.25722
743,2021-06-25,0.23148
744,2021-06-26,0.32434
745,2021-06-27,0.36683
746,2021-06-28,0.42406
747,2021-06-29,0.27172
748,2021-06-30,0.24047
749,2021-07-01,0.19955
750,2021-07-02,0.22091
751,2021-07-03,0.3783
752,2021-07-04,0.3747
753,2021-07-05,0.31354
754,2021-07-06,0.27375
755,2021-07-07,0.2751
756,2021-07-08,0.26723
757,2021-07-09,0.24036
758,2021-07-10,0.25834
759,2021-07-11,0.30388
760,2021-07-12,0.19887
761,2021-07-13,0.20337
762,2021-07-14,0.19381
763,2021-07-15,0.2172
764,2021-07-16,0.19471
765,2021-07-17,0.24305
766,2021-07-18,0.27037
767,2021-07-19,0.23496
768,2021-07-20,0.2136
769,2021-07-21,0.46543
770,2021-07-22,0.33131
771,2021-07-23,0.21034
772,2021-07-24,0.25745
773,2021-07-25,0.22653
774,2021-07-26,0.25936
775,2021-07-27,0.23867
776,2021-07-28,0.24407
777,2021-07-29,0.19988
778,2021-07-30,0.21675
779,2021-07-31,0.20843
780,2021-08-01,0.23845
781,2021-08-02,0.21382
782,2021-08-03,0.21394
783,2021-08-04,0.20652
784,2021-08-05,0.1928
785,2021-08-06,0.21427
786,2021-08-07,0.22574
787,2021-08-08,0.26104
788,2021-08-09,0.20326
789,2021-08-10,0.4308
790,2021-08-11,0.38224
791,2021-08-12,0.22495
792,2021-08-13,0.24868
793,2021-08-14,0.2923
794,2021-08-15,0.30399
795,2021-08-16,0.24519
796,2021-08-17,0.21203
797,2021-08-18,0.25182
798,2021-08-19,0.32692
799,2021-08-20,0.3168
800,2021-08-21,0.34345
801,2021-08-22,0.35818
802,2021-08-23,0.28308
803,2021-08-24,0.26205
804,2021-08-25,0.24958
805,2021-08-26,0.21045
806,2021-08-27,0.23946
807,2021-08-28,0.39089
808,2021-08-29,0.68522
809,2021-08-30,0.36751
810,2021-08-31,0.38932
811,2021-09-01,0.46228
812,2021-09-02,0.38246
813,2021-09-03,0.34862
814,2021-09-04,0.37785
815,2021-09-05,0.38898
816,2021-09-06,0.3448
817,2021-09-07,0.35683
818,2021-09-08,0.34592
819,2021-09-09,0.48027
820,2021-09-10,0.40663
821,2021-09-11,0.37942
822,2021-09-12,0.35143
823,2021-09-13,0.3828
824,2021-09-14,0.29848
825,2021-09-15,0.2507
826,2021-09-16,0.29151
827,2021-09-17,0.25756
828,2021-09-18,0.24317
829,2021-09-19,0.26397
830,2021-09-20,0.39865
831,2021-09-21,0.47521
832,2021-09-22,0.71973
833,2021-09-23,0.37268
834,2021-09-24,0.37066
835,2021-09-25,0.27701
836,2021-09-26,0.29578
837,2021-09-27,0.28757
838,2021-09-28,0.28555
839,2021-09-29,0.24643
840,2021-09-30,0.23136
841,2021-10-01,0.22293
842,2021-10-02,0.32838
843,2021-10-03,0.30624
844,2021-10-04,0.26059
845,2021-10-05,0.39258
846,2021-10-06,0.21933
847,2021-10-07,0.19246
848,2021-10-08,0.18898
849,2021-10-09,0.22349
850,2021-10-10,0.24137
851,2021-10-11,0.22979
852,2021-10-12,0.18313
853,2021-10-13,0.1901
854,2021-10-14,0.19921
855,2021-10-15,0.20371
856,2021-10-16,0.22529
857,2021-10-17,0.2127
858,2021-10-18,0.20146
859,2021-10-19,0.28162
860,2021-10-20,0.33749
861,2021-10-21,0.43665
862,2021-10-22,0.39651
863,2021-10-23,0.3005
864,2021-10-24,0.29882
865,2021-10-25,0.24418
866,2021-10-26,0.23642
867,2021-10-27,0.24092
868,2021-10-28,0.27296
869,2021-10-29,0.28015
870,2021-10-30,0.27599
871,2021-10-31,0.30039
872,2021-11-01,0.27318
873,2021-11-02,0.83013
874,2021-11-03,2.38416
875,2021-11-04,2.38371
876,2021-11-05,8.38578
877,2021-11-06,3.68816
878,2021-11-07,4.12808
879,2021-11-08,4.11144
880,2021-11-09,3.30053
881,2021-11-10,2.57438
882,2021-11-11,1.77078
883,2021-11-12,1.48511
884,2021-11-13,1.5909
