,기간,장원영
560,2020-12-24,1.16227
561,2020-12-25,2.58464
562,2020-12-26,1.43213
563,2020-12-27,1.42022
564,2020-12-28,1.0947
565,2020-12-29,0.9582
566,2020-12-30,1.05643
567,2020-12-31,2.86974
568,2021-01-01,2.07517
569,2021-01-02,1.57312
570,2021-01-03,1.89591
571,2021-01-04,1.49931
572,2021-01-05,1.21479
573,2021-01-06,1.15153
574,2021-01-07,1.10173
575,2021-01-08,1.25033
576,2021-01-09,2.22905
577,2021-01-10,1.43135
578,2021-01-11,1.25072
579,2021-01-12,1.27865
580,2021-01-13,1.16363
581,2021-01-14,1.28997
582,2021-01-15,1.20034
583,2021-01-16,1.27884
584,2021-01-17,1.18316
585,2021-01-18,1.02264
586,2021-01-19,0.93887
587,2021-01-20,0.88263
588,2021-01-21,0.86447
589,2021-01-22,0.86799
590,2021-01-23,0.86643
591,2021-01-24,0.89747
592,2021-01-25,0.91075
593,2021-01-26,0.86193
594,2021-01-27,0.78265
595,2021-01-28,0.78929
596,2021-01-29,0.85139
597,2021-01-30,0.84768
598,2021-01-31,1.90118
599,2021-02-01,1.07146
600,2021-02-02,0.99335
601,2021-02-03,0.9006
602,2021-02-04,0.84338
603,2021-02-05,0.88849
604,2021-02-06,1.18199
605,2021-02-07,0.96035
606,2021-02-08,0.88986
607,2021-02-09,0.92911
608,2021-02-10,0.91153
609,2021-02-11,0.88693
610,2021-02-12,0.9914
611,2021-02-13,1.06639
612,2021-02-14,1.42471
613,2021-02-15,1.05643
614,2021-02-16,1.09294
615,2021-02-17,0.95859
616,2021-02-18,1.07166
617,2021-02-19,0.93458
618,2021-02-20,0.96406
619,2021-02-21,1.0615
620,2021-02-22,1.21929
621,2021-02-23,0.96348
622,2021-02-24,0.884
623,2021-02-25,0.84514
624,2021-02-26,0.83167
625,2021-02-27,0.76117
626,2021-02-28,0.79788
627,2021-03-01,0.92423
628,2021-03-02,0.73774
629,2021-03-03,0.66197
630,2021-03-04,0.65338
631,2021-03-05,0.64987
632,2021-03-06,0.71919
633,2021-03-07,0.79339
634,2021-03-08,0.74145
635,2021-03-09,0.99316
636,2021-03-10,1.71177
637,2021-03-11,2.01835
638,2021-03-12,1.46943
639,2021-03-13,1.24994
640,2021-03-14,1.33001
641,2021-03-15,1.03944
642,2021-03-16,0.95957
643,2021-03-17,1.0615
644,2021-03-18,0.93399
645,2021-03-19,0.9584
646,2021-03-20,1.04686
647,2021-03-21,1.074
648,2021-03-22,0.95469
649,2021-03-23,0.9379
650,2021-03-24,0.97597
651,2021-03-25,1.0037
652,2021-03-26,0.94981
653,2021-03-27,1.01112
654,2021-03-28,1.10036
655,2021-03-29,0.85647
656,2021-03-30,0.88556
657,2021-03-31,1.09685
658,2021-04-01,0.98535
659,2021-04-02,0.9293
660,2021-04-03,1.2146
661,2021-04-04,1.25775
662,2021-04-05,1.13083
663,2021-04-06,0.97695
664,2021-04-07,0.79691
665,2021-04-08,0.71021
666,2021-04-09,0.77094
667,2021-04-10,0.83596
668,2021-04-11,0.8219
669,2021-04-12,0.81097
670,2021-04-13,0.74692
671,2021-04-14,0.72915
672,2021-04-15,0.68892
673,2021-04-16,0.72563
674,2021-04-17,1.33333
675,2021-04-18,1.39249
676,2021-04-19,0.86486
677,2021-04-20,0.79496
678,2021-04-21,0.79242
679,2021-04-22,0.79437
680,2021-04-23,0.90236
681,2021-04-24,0.96152
682,2021-04-25,0.92345
683,2021-04-26,0.81585
684,2021-04-27,0.96797
685,2021-04-28,0.9582
686,2021-04-29,1.24721
687,2021-04-30,0.99218
688,2021-05-01,1.05701
689,2021-05-02,0.89064
690,2021-05-03,0.83284
691,2021-05-04,0.93419
692,2021-05-05,0.95742
693,2021-05-06,0.8508
694,2021-05-07,0.83753
695,2021-05-08,1.03514
696,2021-05-09,1.21089
697,2021-05-10,0.77191
698,2021-05-11,0.73305
699,2021-05-12,0.74536
700,2021-05-13,0.81077
701,2021-05-14,0.84748
702,2021-05-15,0.85354
703,2021-05-16,0.94707
704,2021-05-17,0.75395
705,2021-05-18,0.79828
706,2021-05-19,0.90685
707,2021-05-20,0.8219
708,2021-05-21,0.83128
709,2021-05-22,0.89982
710,2021-05-23,0.95313
711,2021-05-24,0.87931
712,2021-05-25,2.23315
713,2021-05-26,1.72661
714,2021-05-27,1.06346
715,2021-05-28,1.05994
716,2021-05-29,1.16051
717,2021-05-30,1.09704
718,2021-05-31,0.93926
719,2021-06-01,0.94649
720,2021-06-02,0.87443
721,2021-06-03,0.83401
722,2021-06-04,0.87228
723,2021-06-05,1.63776
724,2021-06-06,2.01971
725,2021-06-07,1.19507
726,2021-06-08,0.9377
727,2021-06-09,0.86369
728,2021-06-10,0.84436
729,2021-06-11,0.88966
730,2021-06-12,1.0369
731,2021-06-13,1.31321
732,2021-06-14,1.74008
733,2021-06-15,1.53856
734,2021-06-16,1.16676
735,2021-06-17,1.07674
736,2021-06-18,0.95801
737,2021-06-19,1.39972
738,2021-06-20,1.47549
739,2021-06-21,1.04061
740,2021-06-22,1.06814
741,2021-06-23,0.95547
742,2021-06-24,0.87951
743,2021-06-25,0.84768
744,2021-06-26,0.95977
745,2021-06-27,1.08181
746,2021-06-28,0.89533
747,2021-06-29,1.06619
748,2021-06-30,1.13161
749,2021-07-01,1.04823
750,2021-07-02,1.01659
751,2021-07-03,1.01034
752,2021-07-04,0.94122
753,2021-07-05,0.82483
754,2021-07-06,0.88361
755,2021-07-07,0.83811
756,2021-07-08,0.81995
757,2021-07-09,0.74321
758,2021-07-10,1.41202
759,2021-07-11,1.28607
760,2021-07-12,1.10993
761,2021-07-13,1.04432
762,2021-07-14,0.95313
763,2021-07-15,1.02948
764,2021-07-16,0.93028
765,2021-07-17,1.04842
766,2021-07-18,0.99804
767,2021-07-19,0.99765
768,2021-07-20,0.91134
769,2021-07-21,0.87385
770,2021-07-22,0.89747
771,2021-07-23,0.86916
772,2021-07-24,0.9088
773,2021-07-25,0.92989
774,2021-07-26,0.86408
775,2021-07-27,1.36437
776,2021-07-28,1.39406
777,2021-07-29,1.05487
778,2021-07-30,0.98554
779,2021-07-31,0.91192
780,2021-08-01,0.97324
781,2021-08-02,1.09919
782,2021-08-03,1.24936
783,2021-08-04,1.17027
784,2021-08-05,1.05799
785,2021-08-06,1.20054
786,2021-08-07,1.19624
787,2021-08-08,1.0863
788,2021-08-09,0.90118
789,2021-08-10,0.9131
790,2021-08-11,1.15504
791,2021-08-12,1.17027
792,2021-08-13,1.08006
793,2021-08-14,1.19761
794,2021-08-15,1.46533
795,2021-08-16,1.19253
796,2021-08-17,0.98535
797,2021-08-18,0.83342
798,2021-08-19,1.10817
799,2021-08-20,0.93126
800,2021-08-21,0.9584
801,2021-08-22,1.45576
802,2021-08-23,1.19273
803,2021-08-24,1.03338
804,2021-08-25,0.90079
805,2021-08-26,0.79554
806,2021-08-27,0.76918
807,2021-08-28,0.94336
808,2021-08-29,11.65805
809,2021-08-30,4.60104
810,2021-08-31,2.99452
811,2021-09-01,3.28821
812,2021-09-02,1.72934
813,2021-09-03,1.39777
814,2021-09-04,1.50751
815,2021-09-05,1.39308
816,2021-09-06,1.37355
817,2021-09-07,0.983
818,2021-09-08,0.83323
819,2021-09-09,0.74067
820,2021-09-10,0.95059
821,2021-09-11,0.81819
822,2021-09-12,1.14782
823,2021-09-13,0.85315
824,2021-09-14,0.66686
825,2021-09-15,0.63073
826,2021-09-16,0.6239
827,2021-09-17,0.95449
828,2021-09-18,0.9789
829,2021-09-19,0.88712
830,2021-09-20,0.85842
831,2021-09-21,0.90118
832,2021-09-22,0.97031
833,2021-09-23,0.76391
834,2021-09-24,0.70591
835,2021-09-25,0.79222
836,2021-09-26,0.88966
837,2021-09-27,2.71489
838,2021-09-28,1.70845
839,2021-09-29,1.26146
840,2021-09-30,0.86955
841,2021-10-01,1.17672
842,2021-10-02,1.22671
843,2021-10-03,1.0203
844,2021-10-04,0.99296
845,2021-10-05,0.8592
846,2021-10-06,0.83206
847,2021-10-07,0.82893
848,2021-10-08,2.24135
849,2021-10-09,2.35559
850,2021-10-10,1.85158
851,2021-10-11,1.75375
852,2021-10-12,1.87619
853,2021-10-13,1.72524
854,2021-10-14,1.39894
855,2021-10-15,1.64733
856,2021-10-16,1.54207
857,2021-10-17,1.30111
858,2021-10-18,1.05115
859,2021-10-19,1.04022
860,2021-10-20,0.98515
861,2021-10-21,0.92032
862,2021-10-22,1.33977
863,2021-10-23,1.58757
864,2021-10-24,1.4417
865,2021-10-25,1.23764
866,2021-10-26,1.07342
867,2021-10-27,0.95508
868,2021-10-28,0.85451
869,2021-10-29,0.98066
870,2021-10-30,1.08279
871,2021-10-31,1.10642
872,2021-11-01,0.89591
873,2021-11-02,1.18589
874,2021-11-03,1.48232
875,2021-11-04,1.28236
876,2021-11-05,2.24486
877,2021-11-06,1.83733
878,2021-11-07,1.6526
879,2021-11-08,1.6319
880,2021-11-09,1.51142
881,2021-11-10,1.42335
882,2021-11-11,1.35969
883,2021-11-12,1.64928
884,2021-11-13,1.93496
885,2021-11-14,1.82483
886,2021-11-15,1.61315
887,2021-11-16,1.3923
888,2021-11-17,1.38234
889,2021-11-18,1.12594
890,2021-11-19,1.47627
891,2021-11-20,1.36789
892,2021-11-21,1.44561
893,2021-11-22,1.10173
894,2021-11-23,1.04198
895,2021-11-24,1.17847
896,2021-11-25,1.30208
897,2021-11-26,1.66705
898,2021-11-27,1.56551
899,2021-11-28,1.67681
900,2021-11-29,1.46396
901,2021-11-30,1.32122
902,2021-12-01,5.06404
903,2021-12-02,8.72679
904,2021-12-03,9.74299
905,2021-12-04,10.30304
906,2021-12-05,10.96521
907,2021-12-06,9.67016
908,2021-12-07,8.38467
909,2021-12-08,22.17531
910,2021-12-09,26.16925
911,2021-12-10,16.28116
912,2021-12-11,16.20832
913,2021-12-12,13.01969
914,2021-12-13,7.10816
915,2021-12-14,5.83576
916,2021-12-15,7.07262
917,2021-12-16,6.74788
918,2021-12-17,8.93046
919,2021-12-18,8.16069
920,2021-12-19,5.92285
921,2021-12-20,5.52371
922,2021-12-21,4.86661
923,2021-12-22,4.45712
924,2021-12-23,4.45908
925,2021-12-24,4.00819
926,2021-12-25,6.96874
927,2021-12-26,6.91777
928,2021-12-27,5.22201
929,2021-12-28,4.64322
930,2021-12-29,4.41123
931,2021-12-30,4.05193
932,2021-12-31,6.70102
933,2022-01-01,10.69437
934,2022-01-02,7.43876
935,2022-01-03,5.1275
936,2022-01-04,4.79671
937,2022-01-05,3.98768
938,2022-01-06,4.41377
939,2022-01-07,4.80002
940,2022-01-08,4.86388
941,2022-01-09,4.61881
942,2022-01-10,3.54109
943,2022-01-11,3.36359
944,2022-01-12,3.00214
945,2022-01-13,2.86076
946,2022-01-14,2.93379
947,2022-01-15,3.31477
948,2022-01-16,3.90001
949,2022-01-17,3.15679
950,2022-01-18,3.18003
951,2022-01-19,3.50555
952,2022-01-20,3.20073
953,2022-01-21,3.15582
954,2022-01-22,3.59889
955,2022-01-23,3.48271
956,2022-01-24,2.64166
957,2022-01-25,2.72231
958,2022-01-26,2.64479
959,2022-01-27,2.27396
960,2022-01-28,2.34992
961,2022-01-29,2.43428
962,2022-01-30,2.47509
963,2022-01-31,2.39347
964,2022-02-01,2.76957
965,2022-02-02,3.20444
966,2022-02-03,3.04744
967,2022-02-04,3.11696
968,2022-02-05,3.4663
969,2022-02-06,3.40714
970,2022-02-07,2.78655
971,2022-02-08,2.35734
972,2022-02-09,2.15426
973,2022-02-10,2.29642
974,2022-02-11,2.28333
975,2022-02-12,2.35129
976,2022-02-13,2.16344
977,2022-02-14,1.89611
978,2022-02-15,1.92071
979,2022-02-16,1.82073
980,2022-02-17,1.96543
981,2022-02-18,1.93575
982,2022-02-19,2.25521
983,2022-02-20,2.08474
984,2022-02-21,2.03573
985,2022-02-22,1.93379
986,2022-02-23,1.83713
987,2022-02-24,1.68423
988,2022-02-25,1.71079
989,2022-02-26,1.95605
