,기간,세븐틴
447,2020-09-02,4.57893
448,2020-09-03,4.77957
449,2020-09-04,5.40382
450,2020-09-05,7.08152
451,2020-09-06,5.35883
452,2020-09-07,5.28232
453,2020-09-08,4.8574
454,2020-09-09,8.18454
455,2020-09-10,5.59921
456,2020-09-11,5.46391
457,2020-09-12,4.86626
458,2020-09-13,4.11887
459,2020-09-14,4.27091
460,2020-09-15,5.88621
461,2020-09-16,4.13135
462,2020-09-17,4.38945
463,2020-09-18,46.099
464,2020-09-19,4.81175
465,2020-09-20,4.20096
466,2020-09-21,4.1852
467,2020-09-22,4.34512
468,2020-09-23,3.98456
469,2020-09-24,4.28175
470,2020-09-25,3.80625
471,2020-09-26,3.97996
472,2020-09-27,4.00164
473,2020-09-28,4.03513
474,2020-09-29,7.26935
475,2020-09-30,3.78491
476,2020-10-01,4.02528
477,2020-10-02,4.17962
478,2020-10-03,4.37698
479,2020-10-04,6.79812
480,2020-10-05,12.5231
481,2020-10-06,8.28766
482,2020-10-07,4.83342
483,2020-10-08,4.34808
484,2020-10-09,4.41934
485,2020-10-10,4.84689
486,2020-10-11,4.15236
487,2020-10-12,4.90829
488,2020-10-13,4.69518
489,2020-10-14,4.41277
490,2020-10-15,8.57893
491,2020-10-16,10.44577
492,2020-10-17,9.47771
493,2020-10-18,13.5355
494,2020-10-19,26.29931
495,2020-10-20,11.47065
496,2020-10-21,7.73302
497,2020-10-22,8.33921
498,2020-10-23,7.54059
499,2020-10-24,29.30662
500,2020-10-25,18.30654
501,2020-10-26,8.96018
502,2020-10-27,6.80009
503,2020-10-28,8.79238
504,2020-10-29,8.77202
505,2020-10-30,7.90279
506,2020-10-31,6.85428
507,2020-11-01,6.59354
508,2020-11-02,6.70913
509,2020-11-03,5.17724
510,2020-11-04,5.12929
511,2020-11-05,4.82883
512,2020-11-06,5.01633
513,2020-11-07,5.56538
514,2020-11-08,5.48723
515,2020-11-09,4.70765
516,2020-11-10,4.78088
517,2020-11-11,7.45554
518,2020-11-12,5.19596
519,2020-11-13,4.68828
520,2020-11-14,6.44446
521,2020-11-15,7.9179
522,2020-11-16,6.77218
523,2020-11-17,4.85969
524,2020-11-18,4.88137
525,2020-11-19,4.48042
526,2020-11-20,4.33264
527,2020-11-21,4.48304
528,2020-11-22,6.09736
529,2020-11-23,4.8308
530,2020-11-24,4.51227
531,2020-11-25,4.22198
532,2020-11-26,4.27649
533,2020-11-27,5.27181
534,2020-11-28,5.78179
535,2020-11-29,4.80026
536,2020-11-30,4.78253
537,2020-12-01,4.79303
538,2020-12-02,4.70109
539,2020-12-03,4.71488
540,2020-12-04,4.55364
541,2020-12-05,5.2971
542,2020-12-06,23.76455
543,2020-12-07,9.58936
544,2020-12-08,5.30793
545,2020-12-09,4.80321
546,2020-12-10,5.00976
547,2020-12-11,4.67547
548,2020-12-12,6.63098
549,2020-12-13,6.23462
550,2020-12-14,4.86429
551,2020-12-15,4.89779
552,2020-12-16,4.7464
553,2020-12-17,14.60307
554,2020-12-18,100.0
555,2020-12-19,16.53624
556,2020-12-20,5.75486
557,2020-12-21,5.72268
558,2020-12-22,5.16476
559,2020-12-23,5.00944
560,2020-12-24,5.20187
561,2020-12-25,19.60528
562,2020-12-26,7.46605
563,2020-12-27,6.16533
564,2020-12-28,5.59592
565,2020-12-29,5.52302
566,2020-12-30,6.82275
567,2020-12-31,8.72736
568,2021-01-01,8.22625
569,2021-01-02,5.36934
570,2021-01-03,5.36343
571,2021-01-04,6.50225
572,2021-01-05,8.19801
573,2021-01-06,6.32558
574,2021-01-07,6.41293
575,2021-01-08,6.56793
576,2021-01-09,6.16993
577,2021-01-10,23.27526
578,2021-01-11,12.50866
579,2021-01-12,12.20655
580,2021-01-13,6.9541
581,2021-01-14,8.54839
582,2021-01-15,5.77588
583,2021-01-16,6.52196
584,2021-01-17,5.30695
