,기간,아우터
421,2020-08-07,1.6626
422,2020-08-08,1.24521
423,2020-08-09,1.55826
424,2020-08-10,1.40521
425,2020-08-11,1.57217
426,2020-08-12,1.28
427,2020-08-13,1.46086
428,2020-08-14,1.47478
429,2020-08-15,1.39826
430,2020-08-16,1.21043
431,2020-08-17,1.67652
432,2020-08-18,1.30086
433,2020-08-19,1.46782
434,2020-08-20,1.86434
435,2020-08-21,2.16347
436,2020-08-22,2.08
437,2020-08-23,2.87304
438,2020-08-24,2.44173
439,2020-08-25,2.26086
440,2020-08-26,2.24695
441,2020-08-27,2.15652
442,2020-08-28,2.07304
443,2020-08-29,2.08695
444,2020-08-30,2.33043
445,2020-08-31,2.08695
446,2020-09-01,2.12173
447,2020-09-02,2.8313
448,2020-09-03,2.65043
449,2020-09-04,2.68521
450,2020-09-05,3.16521
451,2020-09-06,4.02086
452,2020-09-07,5.05739
453,2020-09-08,3.7913
454,2020-09-09,3.80521
455,2020-09-10,3.4713
456,2020-09-11,4.34782
457,2020-09-12,4.4313
458,2020-09-13,4.76521
459,2020-09-14,4.13217
460,2020-09-15,3.78434
461,2020-09-16,3.81217
462,2020-09-17,4.13913
463,2020-09-18,3.61739
464,2020-09-19,3.60347
465,2020-09-20,4.71652
466,2020-09-21,5.13391
467,2020-09-22,5.22434
468,2020-09-23,4.8626
469,2020-09-24,4.49391
470,2020-09-25,4.19478
471,2020-09-26,5.24521
472,2020-09-27,4.57043
473,2020-09-28,3.95826
474,2020-09-29,3.95826
475,2020-09-30,3.4713
476,2020-10-01,3.77043
477,2020-10-02,4.41043
478,2020-10-03,4.41739
479,2020-10-04,6.05913
480,2020-10-05,8.2713
481,2020-10-06,8.49391
482,2020-10-07,7.49913
483,2020-10-08,6.4
484,2020-10-09,6.19826
485,2020-10-10,5.66956
486,2020-10-11,5.92
487,2020-10-12,6.00347
488,2020-10-13,9.01565
489,2020-10-14,10.05217
490,2020-10-15,10.39304
491,2020-10-16,9.47478
492,2020-10-17,8.3826
493,2020-10-18,9.24521
494,2020-10-19,8.06956
495,2020-10-20,7.89565
496,2020-10-21,7.7426
497,2020-10-22,7.99304
498,2020-10-23,9.66956
499,2020-10-24,10.44869
500,2020-10-25,10.3026
501,2020-10-26,9.46782
502,2020-10-27,8.28521
503,2020-10-28,8.18782
504,2020-10-29,7.94434
505,2020-10-30,7.37391
506,2020-10-31,6.91478
507,2020-11-01,8.80695
508,2020-11-02,10.4626
509,2020-11-03,13.15478
510,2020-11-04,11.20695
511,2020-11-05,8.86956
512,2020-11-06,7.35304
513,2020-11-07,6.68521
514,2020-11-08,8.67478
515,2020-11-09,8.09043
516,2020-11-10,8.29217
517,2020-11-11,7.2626
518,2020-11-12,6.79652
519,2020-11-13,6.92173
520,2020-11-14,5.83652
521,2020-11-15,6.1913
522,2020-11-16,5.93391
523,2020-11-17,6.37217
524,2020-11-18,5.13391
525,2020-11-19,5.37043
526,2020-11-20,5.92695
527,2020-11-21,5.57913
528,2020-11-22,6.1913
529,2020-11-23,6.50434
530,2020-11-24,6.09391
531,2020-11-25,5.57913
532,2020-11-26,5.41217
533,2020-11-27,4.99478
534,2020-11-28,4.76521
535,2020-11-29,5.24521
536,2020-11-30,5.83652
537,2020-12-01,5.50956
538,2020-12-02,4.68869
539,2020-12-03,4.79304
540,2020-12-04,4.54956
541,2020-12-05,4.06956
542,2020-12-06,4.49391
543,2020-12-07,4.29913
544,2020-12-08,4.50086
545,2020-12-09,4.10434
546,2020-12-10,3.97913
547,2020-12-11,3.54086
548,2020-12-12,3.49217
549,2020-12-13,3.87478
550,2020-12-14,3.87478
551,2020-12-15,3.83304
552,2020-12-16,4.02086
553,2020-12-17,3.61043
554,2020-12-18,3.10956
555,2020-12-19,3.21391
556,2020-12-20,3.28347
557,2020-12-21,3.56869
558,2020-12-22,3.21391
559,2020-12-23,2.72695
560,2020-12-24,3.10956
561,2020-12-25,2.52521
562,2020-12-26,2.90086
563,2020-12-27,3.20695
564,2020-12-28,2.84521
565,2020-12-29,2.72
566,2020-12-30,2.90086
567,2020-12-31,2.72
568,2021-01-01,2.61565
569,2021-01-02,2.86608
570,2021-01-03,2.77565
571,2021-01-04,2.92869
572,2021-01-05,2.77565
573,2021-01-06,3.09565
574,2021-01-07,3.1026
575,2021-01-08,3.14434
576,2021-01-09,2.74086
577,2021-01-10,3.1026
578,2021-01-11,3.04695
579,2021-01-12,3.17913
580,2021-01-13,3.07478
581,2021-01-14,3.05391
582,2021-01-15,2.90782
583,2021-01-16,2.94956
584,2021-01-17,3.14434
585,2021-01-18,2.8313
586,2021-01-19,2.76173
587,2021-01-20,3.13043
588,2021-01-21,3.16521
589,2021-01-22,2.91478
590,2021-01-23,2.7826
591,2021-01-24,3.74956
592,2021-01-25,3.75652
593,2021-01-26,3.48521
594,2021-01-27,3.40173
595,2021-01-28,3.13739
596,2021-01-29,2.85913
597,2021-01-30,2.72
598,2021-01-31,3.50608
599,2021-02-01,3.43652
600,2021-02-02,3.51304
601,2021-02-03,3.18608
602,2021-02-04,3.14434
603,2021-02-05,3.06086
604,2021-02-06,3.23478
605,2021-02-07,3.97913
606,2021-02-08,3.41565
607,2021-02-09,3.04
608,2021-02-10,2.74086
609,2021-02-11,3.24869
610,2021-02-12,3.49217
611,2021-02-13,4.06956
612,2021-02-14,4.45913
613,2021-02-15,4.22956
614,2021-02-16,3.88869
615,2021-02-17,3.75652
616,2021-02-18,3.50608
617,2021-02-19,3.41565
618,2021-02-20,4.22956
619,2021-02-21,5.32173
620,2021-02-22,4.98086
621,2021-02-23,4.89739
622,2021-02-24,4.57739
623,2021-02-25,4.45217
624,2021-02-26,4.56347
625,2021-02-27,4.75826
626,2021-02-28,5.31478
627,2021-03-01,5.92
628,2021-03-02,4.96695
629,2021-03-03,4.88347
630,2021-03-04,4.91826
631,2021-03-05,5.64869
632,2021-03-06,5.85739
633,2021-03-07,5.9826
634,2021-03-08,6.08
635,2021-03-09,5.60695
636,2021-03-10,5.61391
637,2021-03-11,5.09913
638,2021-03-12,4.98782
639,2021-03-13,5.20347
640,2021-03-14,5.31478
641,2021-03-15,5.16869
642,2021-03-16,5.16869
643,2021-03-17,4.82782
644,2021-03-18,5.11304
645,2021-03-19,4.32695
646,2021-03-20,4.64695
647,2021-03-21,5.23826
648,2021-03-22,4.26434
649,2021-03-23,4.94608
650,2021-03-24,5.07826
651,2021-03-25,4.85565
652,2021-03-26,4.36869
653,2021-03-27,4.40347
654,2021-03-28,4.99478
655,2021-03-29,4.34086
656,2021-03-30,4.20173
657,2021-03-31,3.81217
658,2021-04-01,3.94434
659,2021-04-02,3.56173
660,2021-04-03,3.66608
661,2021-04-04,3.75652
662,2021-04-05,3.70782
663,2021-04-06,4.08347
664,2021-04-07,4.02086
665,2021-04-08,3.65217
666,2021-04-09,3.64521
667,2021-04-10,3.36695
668,2021-04-11,3.67304
669,2021-04-12,3.19304
670,2021-04-13,4.07652
671,2021-04-14,3.53391
672,2021-04-15,3.40869
673,2021-04-16,3.2626
674,2021-04-17,3.30434
675,2021-04-18,3.76347
676,2021-04-19,3.40869
677,2021-04-20,3.31826
678,2021-04-21,3.00521
679,2021-04-22,2.53913
680,2021-04-23,2.58782
681,2021-04-24,2.47652
682,2021-04-25,2.76173
683,2021-04-26,2.9913
684,2021-04-27,2.61565
685,2021-04-28,2.5113
686,2021-04-29,2.59478
687,2021-04-30,2.00347
688,2021-05-01,2.88
689,2021-05-02,2.97043
690,2021-05-03,2.47652
691,2021-05-04,2.76173
692,2021-05-05,2.72695
693,2021-05-06,2.61565
694,2021-05-07,2.35826
695,2021-05-08,2.14956
696,2021-05-09,2.49739
697,2021-05-10,2.5113
698,2021-05-11,2.14956
699,2021-05-12,2.14956
700,2021-05-13,1.86434
701,2021-05-14,1.6
702,2021-05-15,1.57217
703,2021-05-16,2.03826
704,2021-05-17,1.90608
705,2021-05-18,1.72521
706,2021-05-19,1.64173
707,2021-05-20,1.6626
708,2021-05-21,1.66956
709,2021-05-22,1.45391
710,2021-05-23,1.80173
711,2021-05-24,1.71826
712,2021-05-25,1.84347
713,2021-05-26,1.79478
714,2021-05-27,1.80869
715,2021-05-28,1.69043
716,2021-05-29,1.80869
717,2021-05-30,1.72521
718,2021-05-31,1.71826
719,2021-06-01,1.72521
720,2021-06-02,1.34956
721,2021-06-03,1.41217
722,2021-06-04,1.5026
723,2021-06-05,1.21739
724,2021-06-06,1.37043
725,2021-06-07,1.25217
726,2021-06-08,1.30086
727,2021-06-09,1.07826
728,2021-06-10,1.16869
729,2021-06-11,1.09217
730,2021-06-12,1.09913
731,2021-06-13,0.99478
732,2021-06-14,1.21739
733,2021-06-15,1.21043
734,2021-06-16,1.49565
735,2021-06-17,1.14086
736,2021-06-18,1.10608
737,2021-06-19,0.95304
738,2021-06-20,1.00173
739,2021-06-21,1.03652
740,2021-06-22,1.22434
741,2021-06-23,1.25217
742,2021-06-24,0.9113
743,2021-06-25,0.96695
744,2021-06-26,0.95304
745,2021-06-27,1.00173
746,2021-06-28,1.0226
747,2021-06-29,1.16173
748,2021-06-30,1.09913
749,2021-07-01,1.00869
750,2021-07-02,0.95999
751,2021-07-03,1.0226
752,2021-07-04,1.26608
753,2021-07-05,1.33565
754,2021-07-06,1.09913
755,2021-07-07,1.21043
756,2021-07-08,1.14086
757,2021-07-09,0.99478
758,2021-07-10,1.05739
759,2021-07-11,1.17565
760,2021-07-12,1.00173
761,2021-07-13,1.09217
762,2021-07-14,0.98782
763,2021-07-15,1.17565
764,2021-07-16,0.97391
765,2021-07-17,0.95999
766,2021-07-18,1.09913
767,2021-07-19,1.00869
768,2021-07-20,1.09913
769,2021-07-21,0.94608
770,2021-07-22,1.13391
771,2021-07-23,1.01565
772,2021-07-24,1.00869
773,2021-07-25,1.0226
774,2021-07-26,1.1826
775,2021-07-27,1.14086
776,2021-07-28,1.00173
777,2021-07-29,1.11304
778,2021-07-30,1.05043
779,2021-07-31,1.01565
780,2021-08-01,0.95999
781,2021-08-02,1.07826
782,2021-08-03,1.3426
783,2021-08-04,1.15478
784,2021-08-05,1.18956
785,2021-08-06,1.11304
786,2021-08-07,1.0713
787,2021-08-08,1.3913
788,2021-08-09,1.90608
789,2021-08-10,1.60695
790,2021-08-11,1.69043
791,2021-08-12,1.65565
792,2021-08-13,1.5026
793,2021-08-14,1.65565
794,2021-08-15,2.05217
795,2021-08-16,1.95478
796,2021-08-17,1.85043
797,2021-08-18,3.75652
798,2021-08-19,4.9113
799,2021-08-20,2.59478
800,2021-08-21,2.91478
801,2021-08-22,2.75478
802,2021-08-23,3.07478
803,2021-08-24,3.10956
804,2021-08-25,2.91478
805,2021-08-26,2.51826
806,2021-08-27,2.58782
807,2021-08-28,2.6226
808,2021-08-29,2.84521
809,2021-08-30,2.87304
810,2021-08-31,2.92173
811,2021-09-01,3.3113
812,2021-09-02,3.28347
813,2021-09-03,3.24173
814,2021-09-04,3.23478
815,2021-09-05,5.6626
816,2021-09-06,4.13217
817,2021-09-07,4.09739
818,2021-09-08,3.83304
819,2021-09-09,3.74956
820,2021-09-10,3.04695
821,2021-09-11,3.70782
822,2021-09-12,4.11826
823,2021-09-13,3.65217
824,2021-09-14,3.24869
825,2021-09-15,3.3113
826,2021-09-16,3.25565
827,2021-09-17,3.05391
828,2021-09-18,3.23478
829,2021-09-19,3.01217
830,2021-09-20,2.58782
831,2021-09-21,3.07478
832,2021-09-22,3.6313
833,2021-09-23,3.47826
834,2021-09-24,3.28347
835,2021-09-25,3.56869
