,기간,캠핑
456,2020-09-11,29.57913
457,2020-09-12,28.04173
458,2020-09-13,35.69391
459,2020-09-14,36.57043
460,2020-09-15,33.12695
461,2020-09-16,30.25391
462,2020-09-17,29.76695
463,2020-09-18,31.06782
464,2020-09-19,30.24
465,2020-09-20,36.45217
466,2020-09-21,37.86434
467,2020-09-22,34.65043
468,2020-09-23,31.14434
469,2020-09-24,30.06608
470,2020-09-25,30.52521
471,2020-09-26,34.69913
472,2020-09-27,42.34434
473,2020-09-28,39.38782
474,2020-09-29,32.20869
475,2020-09-30,29.30782
476,2020-10-01,33.27304
477,2020-10-02,37.50956
478,2020-10-03,38.34434
479,2020-10-04,46.79652
480,2020-10-05,44.75826
481,2020-10-06,38.08695
482,2020-10-07,37.2313
483,2020-10-08,37.30782
484,2020-10-09,36.66086
485,2020-10-10,32.78608
486,2020-10-11,41.44695
487,2020-10-12,39.7913
488,2020-10-13,34.94956
489,2020-10-14,36.20869
490,2020-10-15,30.93565
491,2020-10-16,28.93217
492,2020-10-17,27.32521
493,2020-10-18,36.18782
494,2020-10-19,37.91304
495,2020-10-20,32.22956
496,2020-10-21,32.68869
497,2020-10-22,28.49391
498,2020-10-23,27.32521
499,2020-10-24,24.45913
500,2020-10-25,29.80869
501,2020-10-26,31.76347
502,2020-10-27,29.44
503,2020-10-28,27.45043
504,2020-10-29,25.7113
505,2020-10-30,22.80347
506,2020-10-31,21.53739
507,2020-11-01,26.9426
508,2020-11-02,26.96347
509,2020-11-03,23.61739
510,2020-11-04,21.74608
511,2020-11-05,20.3826
512,2020-11-06,19.93043
513,2020-11-07,19.66608
514,2020-11-08,24.64695
515,2020-11-09,23.99304
516,2020-11-10,20.68869
517,2020-11-11,19.72173
518,2020-11-12,19.65913
519,2020-11-13,19.04
520,2020-11-14,19.60347
521,2020-11-15,21.99652
522,2020-11-16,22.01739
523,2020-11-17,22.33043
524,2020-11-18,19.01913
525,2020-11-19,19.68695
526,2020-11-20,18.39304
527,2020-11-21,18.44869
528,2020-11-22,20.25043
529,2020-11-23,19.7913
530,2020-11-24,17.54434
531,2020-11-25,16.7513
532,2020-11-26,17.15478
533,2020-11-27,17.87826
534,2020-11-28,17.73913
535,2020-11-29,22.0313
536,2020-11-30,20.66086
537,2020-12-01,19.00521
538,2020-12-02,17.44
539,2020-12-03,17.7113
540,2020-12-04,17.64173
541,2020-12-05,19.33217
542,2020-12-06,22.94956
543,2020-12-07,22.49043
544,2020-12-08,19.70782
545,2020-12-09,18.9426
546,2020-12-10,18.7826
547,2020-12-11,19.07478
548,2020-12-12,18.30956
549,2020-12-13,19.66608
550,2020-12-14,23.86782
551,2020-12-15,23.25565
552,2020-12-16,19.21391
553,2020-12-17,15.95826
554,2020-12-18,15.19304
555,2020-12-19,14.73391
556,2020-12-20,17.44695
557,2020-12-21,19.81217
558,2020-12-22,20.45913
559,2020-12-23,19.07478
560,2020-12-24,16.68173
561,2020-12-25,16.48
562,2020-12-26,18.32347
563,2020-12-27,19.36
564,2020-12-28,19.39478
565,2020-12-29,16.34782
566,2020-12-30,14.18434
567,2020-12-31,13.09913
568,2021-01-01,15.88173
569,2021-01-02,16.03478
570,2021-01-03,15.49217
571,2021-01-04,14.81043
572,2021-01-05,13.79478
573,2021-01-06,12.89043
574,2021-01-07,10.9426
575,2021-01-08,11.45739
576,2021-01-09,13.51652
577,2021-01-10,15.93739
578,2021-01-11,14.06608
579,2021-01-12,12.96
580,2021-01-13,14.05913
581,2021-01-14,13.87826
582,2021-01-15,14.1913
583,2021-01-16,15.74956
584,2021-01-17,15.97217
585,2021-01-18,15.29043
586,2021-01-19,14.67826
587,2021-01-20,65.84347
588,2021-01-21,39.54086
589,2021-01-22,15.88869
590,2021-01-23,19.38086
591,2021-01-24,19.99304
592,2021-01-25,20.01391
593,2021-01-26,17.19652
594,2021-01-27,16.66782
595,2021-01-28,14.52521
596,2021-01-29,14.76173
597,2021-01-30,17.7113
598,2021-01-31,20.38956
599,2021-02-01,19.07478
600,2021-02-02,17.16173
601,2021-02-03,16.99478
602,2021-02-04,16.06956
603,2021-02-05,15.71478
604,2021-02-06,16.57043
605,2021-02-07,19.52695
606,2021-02-08,18.74086
607,2021-02-09,16.57043
608,2021-02-10,15.12347
609,2021-02-11,15.62434
610,2021-02-12,17.72521
611,2021-02-13,19.65217
612,2021-02-14,22.07304
613,2021-02-15,20.30608
614,2021-02-16,18.36521
615,2021-02-17,17.27304
616,2021-02-18,16.86956
617,2021-02-19,16.93913
618,2021-02-20,18.88695
619,2021-02-21,23.86782
620,2021-02-22,25.0713
621,2021-02-23,22.26782
622,2021-02-24,21.75304
623,2021-02-25,21.28695
624,2021-02-26,22.34434
625,2021-02-27,22.56695
626,2021-02-28,21.44695
627,2021-03-01,22.58086
628,2021-03-02,18.20521
629,2021-03-03,18.5113
630,2021-03-04,19.14434
631,2021-03-05,19.40173
632,2021-03-06,21.49565
633,2021-03-07,24.96695
634,2021-03-08,25.41913
635,2021-03-09,23.41565
636,2021-03-10,22.33043
637,2021-03-11,21.68347
638,2021-03-12,21.56521
639,2021-03-13,23.56869
640,2021-03-14,27.01217
641,2021-03-15,26.89391
642,2021-03-16,25.81565
643,2021-03-17,23.45043
644,2021-03-18,24.45913
645,2021-03-19,23.17217
646,2021-03-20,22.69217
647,2021-03-21,26.24
648,2021-03-22,26.09391
649,2021-03-23,24.5426
650,2021-03-24,22.04521
651,2021-03-25,22.73391
652,2021-03-26,20.65391
653,2021-03-27,20.0
654,2021-03-28,24.00695
655,2021-03-29,26.98434
656,2021-03-30,23.21391
657,2021-03-31,21.28
658,2021-04-01,20.54956
659,2021-04-02,20.18086
660,2021-04-03,20.90434
661,2021-04-04,28.22956
662,2021-04-05,28.33391
663,2021-04-06,26.85913
664,2021-04-07,25.43304
665,2021-04-08,27.34608
666,2021-04-09,27.70782
667,2021-04-10,27.87478
668,2021-04-11,32.44521
669,2021-04-12,32.71652
670,2021-04-13,30.33043
671,2021-04-14,27.88173
672,2021-04-15,28.29217
673,2021-04-16,27.07478
674,2021-04-17,26.75478
675,2021-04-18,32.51478
676,2021-04-19,36.50086
677,2021-04-20,32.7026
678,2021-04-21,30.21217
679,2021-04-22,29.21739
680,2021-04-23,28.87652
681,2021-04-24,29.06434
682,2021-04-25,34.72695
683,2021-04-26,35.88173
684,2021-04-27,33.12
685,2021-04-28,31.95826
686,2021-04-29,30.90086
687,2021-04-30,28.29913
688,2021-05-01,30.01043
689,2021-05-02,39.43652
690,2021-05-03,41.55826
691,2021-05-04,31.58956
692,2021-05-05,29.00173
693,2021-05-06,29.37043
694,2021-05-07,27.77739
695,2021-05-08,26.13565
696,2021-05-09,31.69391
697,2021-05-10,32.77913
698,2021-05-11,30.06608
699,2021-05-12,28.48695
700,2021-05-13,26.07304
701,2021-05-14,50.05913
702,2021-05-15,29.69739
703,2021-05-16,34.08
704,2021-05-17,33.8713
705,2021-05-18,31.38782
706,2021-05-19,32.3826
707,2021-05-20,34.20521
708,2021-05-21,32.82782
709,2021-05-22,32.70956
710,2021-05-23,36.99478
711,2021-05-24,38.21217
712,2021-05-25,33.05739
713,2021-05-26,32.2713
714,2021-05-27,31.9026
715,2021-05-28,32.83478
716,2021-05-29,33.04347
717,2021-05-30,36.09043
718,2021-05-31,39.05391
719,2021-06-01,35.01217
720,2021-06-02,33.37043
721,2021-06-03,30.70608
722,2021-06-04,33.3426
723,2021-06-05,32.95304
724,2021-06-06,38.60173
725,2021-06-07,38.68521
726,2021-06-08,33.10608
727,2021-06-09,30.3513
728,2021-06-10,30.08
729,2021-06-11,31.12347
730,2021-06-12,31.61739
731,2021-06-13,33.29391
732,2021-06-14,33.25913
733,2021-06-15,30.24695
734,2021-06-16,30.09391
735,2021-06-17,28.18782
736,2021-06-18,29.11304
737,2021-06-19,27.84695
738,2021-06-20,31.73565
739,2021-06-21,34.26086
740,2021-06-22,31.80521
741,2021-06-23,28.64695
742,2021-06-24,29.42608
743,2021-06-25,27.54086
744,2021-06-26,27.53391
745,2021-06-27,30.44173
746,2021-06-28,31.69391
747,2021-06-29,28.1113
748,2021-06-30,24.36869
749,2021-07-01,23.70782
750,2021-07-02,21.75304
751,2021-07-03,22.95652
752,2021-07-04,26.64347
753,2021-07-05,26.12869
754,2021-07-06,25.01565
755,2021-07-07,22.56695
756,2021-07-08,22.76869
757,2021-07-09,23.97217
758,2021-07-10,24.28521
759,2021-07-11,24.86956
760,2021-07-12,25.5513
761,2021-07-13,24.54956
762,2021-07-14,22.63652
763,2021-07-15,23.59652
764,2021-07-16,22.32347
765,2021-07-17,23.19304
766,2021-07-18,25.76695
767,2021-07-19,26.88
768,2021-07-20,26.07999
769,2021-07-21,24.5913
770,2021-07-22,24.62608
771,2021-07-23,23.88869
772,2021-07-24,23.03304
773,2021-07-25,25.6
774,2021-07-26,26.9426
775,2021-07-27,26.1426
776,2021-07-28,26.12869
777,2021-07-29,26.72695
778,2021-07-30,25.07826
779,2021-07-31,23.61043
780,2021-08-01,27.54782
781,2021-08-02,26.9913
782,2021-08-03,26.29565
783,2021-08-04,24.63304
784,2021-08-05,25.82956
785,2021-08-06,25.81565
786,2021-08-07,26.67826
787,2021-08-08,29.57217
788,2021-08-09,31.22086
789,2021-08-10,29.76695
790,2021-08-11,30.01739
791,2021-08-12,29.45391
792,2021-08-13,29.77391
793,2021-08-14,32.23652
794,2021-08-15,31.72173
795,2021-08-16,33.43304
796,2021-08-17,31.2
797,2021-08-18,28.84173
798,2021-08-19,28.11826
