,기간,방탄소년단
428,2020-08-14,20.32103
429,2020-08-15,20.39774
430,2020-08-16,19.30913
431,2020-08-17,21.04818
432,2020-08-18,23.72006
433,2020-08-19,29.514
434,2020-08-20,26.01307
435,2020-08-21,57.63841
436,2020-08-22,43.53538
437,2020-08-23,29.84887
438,2020-08-24,29.71379
439,2020-08-25,28.35597
440,2020-08-26,29.61378
441,2020-08-27,26.48254
442,2020-08-28,27.57775
443,2020-08-29,27.26335
444,2020-08-30,25.6429
445,2020-08-31,39.13197
446,2020-09-01,100.0
447,2020-09-02,48.98221
448,2020-09-03,40.56863
449,2020-09-04,35.46137
450,2020-09-05,30.72216
451,2020-09-06,29.80839
452,2020-09-07,30.08231
453,2020-09-08,32.93869
454,2020-09-09,41.57724
455,2020-09-10,46.00112
456,2020-09-11,35.16863
457,2020-09-12,39.85042
458,2020-09-13,29.52859
459,2020-09-14,33.78092
460,2020-09-15,31.85666
461,2020-09-16,26.11826
462,2020-09-17,27.00708
463,2020-09-18,27.85567
464,2020-09-19,33.40016
465,2020-09-20,24.96564
466,2020-09-21,25.32027
467,2020-09-22,26.41006
468,2020-09-23,25.85093
469,2020-09-24,26.09896
470,2020-09-25,23.31318
471,2020-09-26,22.82488
472,2020-09-27,25.27485
473,2020-09-28,27.51256
474,2020-09-29,37.11994
475,2020-09-30,28.38844
476,2020-10-01,28.22842
477,2020-10-02,28.39127
478,2020-10-03,27.1504
479,2020-10-04,26.18462
480,2020-10-05,27.34595
481,2020-10-06,28.46892
482,2020-10-07,25.85211
483,2020-10-08,25.34851
484,2020-10-09,24.22366
485,2020-10-10,35.66564
486,2020-10-11,39.94526
487,2020-10-12,35.05144
488,2020-10-13,51.86965
489,2020-10-14,32.10893
490,2020-10-15,48.32024
491,2020-10-16,29.68085
492,2020-10-17,25.53701
493,2020-10-18,24.54323
494,2020-10-19,25.39581
495,2020-10-20,27.6867
496,2020-10-21,25.13107
497,2020-10-22,22.15491
498,2020-10-23,19.96663
499,2020-10-24,20.06005
500,2020-10-25,20.07299
501,2020-10-26,20.03063
502,2020-10-27,20.77332
503,2020-10-28,21.39199
504,2020-10-29,20.5187
505,2020-10-30,19.09592
506,2020-10-31,20.80509
507,2020-11-01,22.02807
508,2020-11-02,20.13441
509,2020-11-03,20.88863
510,2020-11-04,18.72599
511,2020-11-05,17.98331
512,2020-11-06,20.27843
513,2020-11-07,20.22548
514,2020-11-08,18.15392
515,2020-11-09,19.25571
516,2020-11-10,21.03453
517,2020-11-11,19.6953
518,2020-11-12,19.04486
519,2020-11-13,20.46528
520,2020-11-14,23.26518
521,2020-11-15,19.08769
522,2020-11-16,20.62718
523,2020-11-17,23.28471
