,기간,bts
649,2021-03-23,4.21889
650,2021-03-24,18.35623
651,2021-03-25,13.94979
652,2021-03-26,11.5696
653,2021-03-27,12.65639
654,2021-03-28,9.71769
655,2021-03-29,12.25666
656,2021-03-30,11.94527
657,2021-03-31,6.09898
658,2021-04-01,6.3866
659,2021-04-02,6.35255
660,2021-04-03,7.27264
661,2021-04-04,5.09848
662,2021-04-05,5.17214
663,2021-04-06,5.09525
664,2021-04-07,4.78327
665,2021-04-08,5.00427
666,2021-04-09,4.142
667,2021-04-10,3.89928
668,2021-04-11,3.99819
669,2021-04-12,3.91014
670,2021-04-13,4.10003
671,2021-04-14,4.50798
672,2021-04-15,4.12057
673,2021-04-16,4.02842
674,2021-04-17,4.70902
675,2021-04-18,4.24472
676,2021-04-19,4.1508
677,2021-04-20,4.37121
678,2021-04-21,5.07999
679,2021-04-22,4.4707
680,2021-04-23,4.07596
681,2021-04-24,3.95945
682,2021-04-25,3.97324
683,2021-04-26,4.03605
684,2021-04-27,4.73572
685,2021-04-28,3.84411
686,2021-04-29,3.70998
687,2021-04-30,3.93215
688,2021-05-01,3.50483
689,2021-05-02,3.66361
690,2021-05-03,3.5785
691,2021-05-04,4.39528
692,2021-05-05,4.61862
693,2021-05-06,4.20246
694,2021-05-07,4.03605
695,2021-05-08,3.95857
696,2021-05-09,3.94771
697,2021-05-10,4.42316
698,2021-05-11,4.43901
699,2021-05-12,4.45779
700,2021-05-13,4.02196
701,2021-05-14,4.17692
702,2021-05-15,4.12967
703,2021-05-16,4.00699
704,2021-05-17,4.23826
705,2021-05-18,4.54818
706,2021-05-19,5.44831
707,2021-05-20,6.01328
708,2021-05-21,20.06961
709,2021-05-22,13.84736
710,2021-05-23,10.02761
711,2021-05-24,23.05057
712,2021-05-25,11.68494
713,2021-05-26,9.01801
714,2021-05-27,9.68042
715,2021-05-28,9.19264
716,2021-05-29,8.67698
717,2021-05-30,7.59489
718,2021-05-31,7.26765
719,2021-06-01,7.72784
720,2021-06-02,16.30621
721,2021-06-03,8.1443
722,2021-06-04,6.54713
723,2021-06-05,6.94686
724,2021-06-06,7.04313
725,2021-06-07,6.50516
726,2021-06-08,8.12904
727,2021-06-09,6.47582
728,2021-06-10,7.44022
729,2021-06-11,7.19281
730,2021-06-12,6.75756
731,2021-06-13,9.13776
732,2021-06-14,8.70281
733,2021-06-15,11.30076
734,2021-06-16,6.9947
735,2021-06-17,6.03734
736,2021-06-18,5.93286
737,2021-06-19,5.76117
738,2021-06-20,5.72713
739,2021-06-21,6.1518
740,2021-06-22,10.88401
741,2021-06-23,6.69153
742,2021-06-24,5.81459
743,2021-06-25,5.26576
744,2021-06-26,5.53108
745,2021-06-27,4.84343
746,2021-06-28,6.45175
747,2021-06-29,12.46122
748,2021-06-30,6.57179
749,2021-07-01,5.53166
750,2021-07-02,6.09868
751,2021-07-03,6.53716
752,2021-07-04,6.05642
753,2021-07-05,7.88397
754,2021-07-06,10.37569
755,2021-07-07,14.49098
756,2021-07-08,8.82284
757,2021-07-09,25.16486
758,2021-07-10,15.50968
759,2021-07-11,10.48369
760,2021-07-12,9.7532
761,2021-07-13,14.14672
762,2021-07-14,9.85269
763,2021-07-15,8.55988
764,2021-07-16,7.37418
765,2021-07-17,7.08921
766,2021-07-18,6.91223
767,2021-07-19,8.14283
768,2021-07-20,17.99377
769,2021-07-21,10.61723
770,2021-07-22,8.21473
771,2021-07-23,7.23243
772,2021-07-24,9.40278
773,2021-07-25,6.53627
